MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE972506407013;1000-Dächer-Programm;In Betrieb;17.05.1990;30.12.2020;Solare Strahlungsenergie;2,12;2,12;14050;Berlin;(natürliche Person);ABR993757256762;30.12.2020
SEE965857394873;PV-Anlage;In Betrieb;09.07.1990;23.10.2020;Solare Strahlungsenergie;1,68;1,68;14055;Berlin;(natürliche Person);ABR952631220183;19.04.2021
SEE924508802884;PV-Dach;In Betrieb;01.10.1990;30.12.2020;Solare Strahlungsenergie;1,1;1,1;13509;Berlin;(natürliche Person);ABR918887644661;30.12.2020
SEE934872877647;Solar_alt;Dauerhaft stillgelegt;07.11.1990;16.09.2019;Solare Strahlungsenergie;0,85;0,85;12107;Berlin;(natürliche Person);;13.04.2021
SEE985571471735;Dachanlage;In Betrieb;07.11.1990;03.01.2021;Solare Strahlungsenergie;1,27;1,27;12309;Berlin;(natürliche Person);ABR910096856675;03.01.2021
SEE921647476969;PV Pionier;In Betrieb;19.11.1990;21.01.2021;Solare Strahlungsenergie;0,96;0,96;14167;Berlin;(natürliche Person);ABR991369140813;21.01.2021
SEE989527078672;Qualle60;In Betrieb;01.03.1991;09.11.2019;Solare Strahlungsenergie;1;1;13509;Berlin;(natürliche Person);ABR935402635232;09.11.2019
SEE972356071761;Hausdach_R1;In Betrieb;04.03.1991;06.09.2020;Solare Strahlungsenergie;2,63;1,74;12357;Berlin;(natürliche Person);ABR932703223274;06.09.2020
SEE977420737581;Hausdach;In Betrieb;23.05.1991;30.12.2020;Solare Strahlungsenergie;1,27;1,27;13505;Berlin;(natürliche Person);ABR942699813298;16.04.2021
SEE908557354709;Dach-Kollektor;In Betrieb;31.05.1991;01.01.2021;Solare Strahlungsenergie;1;1;12355;Berlin;(natürliche Person);ABR985489405341;01.01.2021
SEE979984302076;PV-Hausdachanlage;In Betrieb;09.07.1991;04.01.2021;Solare Strahlungsenergie;3,18;3;13467;Berlin;(natürliche Person);ABR922094110444;29.04.2021
SEE990484843586;Berliner Anlage;In Betrieb;03.09.1991;03.01.2021;Solare Strahlungsenergie;2,1;1,8;10717;Berlin;(natürliche Person);ABR939751784832;23.04.2021
SEE957070538479;Solar am Dach;In Betrieb;03.09.1991;06.01.2021;Solare Strahlungsenergie;2,3;1,8;10717;Berlin;(natürliche Person);ABR935054245056;06.01.2021
